syllable,label,short_description,movie_path
0,hesitate,mixed,
1,stop,mixed,
2,turn_right,head turn,
3,head up,mixed,
4,stop,flip of dlc track,
5,walk_start,walk/start walk,
6,turn_left,turn left,
7,turn_left,turn left,
8,hunch,mixed rear/scrunch,
9,freeze,freeze/stop,
10,grooming,groom/mixed,
11,stop,stop/mixed,
12,grooming,grooming,
13,start_walk,walk start/stop,
14,start_run,start_run,
15,head_up,head_up/hesitate,
16,,,
17,rear,rear,
18,freeze,freeze/stop,
19,grooming,grooming/scrunch,
20,,,
21,,,
22,,,
23,,,
24,grooming,grooming/flip,
25,,,
26,,,
27,,,
28,,,
29,,,
30,grooming,grooming/flip,
31,,,
32,,,
33,,,
34,,,
35,,,
36,,,
37,,,
38,,,
39,,,
40,,,
41,,,
42,,,
43,,,
44,,,
45,,,
46,,,
47,,,
48,,,
49,,,
50,,,
51,,,
52,,,
53,,,
54,,,
55,,,
56,,,
57,,,
58,,,
59,,,
60,,,
61,,,
62,,,
63,,,
64,,,
65,,,
66,,,
67,,,
68,,,
69,,,
70,,,
71,,,
72,,,
73,,,
74,,,
75,,,
76,,,
77,,,
78,,,
79,,,
80,,,
81,,,
82,,,
83,,,
84,,,
85,,,
86,,,
87,,,
88,,,
89,,,
90,,,
91,,,
92,,,
93,,,
94,,,
95,,,
96,,,
97,,,
98,,,
99,,,
