,Transitions,Unique,Entropy,Entropy_transitions,Local Entropy,Group
0,1.7952286282306162,40,0.4322267937393773,8.64382299961348,5.342343416100024,Control
1,1.8714725500256542,38,0.43222907035690217,8.643822078761746,5.183959890322641,Control
2,2.272960492560287,49,0.432226760571474,8.643826800710027,5.0741294234944485,Control
3,3.427398665982555,46,0.4322118168320238,8.643837957210934,4.520420076309231,Control
4,3.505643919958953,55,0.4322111570433066,8.64384266196928,3.9056432510756083,Control
5,2.065161621344279,39,0.4322238344192979,8.643823617113288,5.234868421630648,Control
6,1.832991277578245,23,0.43225153915094805,8.643793869958811,5.340368155198193,Control
7,1.8573627501282708,33,0.4322553733969512,8.643797657147468,5.313923328838081,Control
8,1.8214468958440224,28,0.43224166689440235,8.643803377334049,5.460202970576057,Control
0,1.763724987172909,43,0.43222176413828,8.643827102176253,4.969696894908948,Control + L-Dopa
1,1.9266290405336068,60,0.4322135077581497,8.643835669653502,4.385935114491402,Control + L-Dopa
2,2.9386865059004617,39,0.43223526379519145,8.643807115842181,5.111159801595848,Control + L-Dopa
3,1.577732170343766,33,0.43223607677528647,8.643814363551186,5.367601677609403,Control + L-Dopa
4,2.047203694202155,33,0.43228159367171837,8.643759862873132,4.961091602640208,Control + L-Dopa
5,1.6649563878912261,24,0.4322455171667918,8.643805378384254,5.369720782498851,Control + L-Dopa
6,1.7483324781939455,30,0.43223721983345065,8.643814052935246,5.490853473597073,Control + L-Dopa
7,1.5161621344279117,24,0.432249514371273,8.643797776556422,5.297152050611003,Control + L-Dopa
8,1.1285389723872772,22,0.4322528956526565,8.643792380664081,5.3100607529640405,Control + L-Dopa
0,0.759018759018759,33,0.43225837130811195,8.643779149951811,4.666899549339301,Mitopark
1,1.7149820420728579,55,0.43221202861507224,8.643834957776257,4.141337315109755,Mitopark
2,0.2898922524371472,18,0.4322958560540633,8.643729016547226,4.46158679268344,Mitopark
3,0.9081580297588506,28,0.43227650116114563,8.64376086870178,4.541148268204305,Mitopark
4,1.362237044638276,50,0.4322167031469698,8.643827124022323,4.538631213382876,Mitopark
5,1.0466906105695228,32,0.4322471324736879,8.643795690861257,5.0689968742623055,Mitopark
6,0.6015905592611596,20,0.43228887495580975,8.643760928576214,4.7049327893759605,Mitopark
7,1.1967675731144176,31,0.43225470405598193,8.64379313113508,5.229092487060555,Mitopark
8,0.7734735761929195,17,0.4322901275434624,8.643758586010943,4.850777485944138,Mitopark
0,0.8504361210877373,24,0.43229106134364326,8.643750850609695,4.73387619929656,Mitopark + L-Dopa
1,1.1223704463827604,46,0.4321975777524538,8.643851563035604,2.903040308415994,Mitopark + L-Dopa
2,0.9235505387378142,23,0.4322903818564044,8.643757449075284,4.533055555354949,Mitopark + L-Dopa
3,1.2160082093381221,36,0.4322047129297049,8.643843173610684,4.363388689296383,Mitopark + L-Dopa
4,1.2314007183170856,28,0.43221580747164234,8.643832914070146,4.986125265629879,Mitopark + L-Dopa
5,1.1364802462801435,24,0.4322630261226214,8.643779694202548,5.047181252035338,Mitopark + L-Dopa
6,0.9235505387378142,23,0.43229247222438183,8.643753682201345,4.590604719275549,Mitopark + L-Dopa
7,0.9338122113904567,24,0.4321983221096404,8.643849931421917,1.8119921624322413,Mitopark + L-Dopa
8,1.2968188814776809,36,0.4321973079025667,8.64385142103518,2.401605579180833,Mitopark + L-Dopa
