syllable,centroid x,centroid y,heading,latent_state 0,latent_state 1,latent_state 2,latent_state 3,latent_state 4,latent_state 5,latent_state 6
10,481.8282,60.4716,-0.2878,2.2047,1.1239,3.2289,-1.8884,-3.5732,-1.0576,1.2458
10,482.9622,60.6812,-0.358,0.7824,-1.0691,-0.8018,-3.0146,0.4923,2.2245,-1.7796
10,484.1244,60.7132,-0.3178,0.3143,-0.1491,-0.4328,-0.7042,0.2893,-1.1554,0.1915
10,489.3374,60.0077,-0.2783,0.477,0.0264,-0.6242,-0.9994,-0.4661,-0.3269,-0.8051
10,493.8107,61.0616,-0.1848,0.5042,0.0443,-0.5155,-0.8863,-0.0495,-0.0783,-0.6159
10,497.9745,61.7339,-0.1509,0.5158,0.1616,-0.3784,-0.9565,0.01,-0.1768,-0.3823
10,500.8695,61.5941,-0.0934,0.4601,0.1938,-0.2122,-1.1735,-0.1465,0.0586,-0.6991
10,504.7879,61.0761,-0.0324,0.6033,0.1429,-0.2318,-0.9824,-0.2115,-0.0034,-0.612
10,508.9347,60.0594,-0.0319,0.5461,0.2261,-0.2504,-1.0462,0.2038,0.066,-0.5214
10,513.7445,58.5498,-0.0435,0.5055,0.2386,-0.2962,-1.114,-0.0627,0.0494,-0.4403
10,518.3483,58.7354,-0.0216,0.5562,0.2372,-0.3946,-1.0381,-0.0287,0.0323,-0.3956
10,522.7347,58.5241,0.0009,0.4179,0.2677,-0.347,-1.1633,-0.093,0.1528,-0.4183
10,525.9232,58.957,0.0248,0.6219,0.3119,-0.5029,-1.1708,-0.4308,0.2759,-0.3597
10,527.8905,59.8134,0.0406,0.5,0.1763,-0.2494,-1.1521,-0.2852,0.2302,-0.3421
10,529.6442,61.3151,0.1199,0.3854,0.2702,-0.2804,-0.9712,-0.3578,0.1382,-0.1499
10,532.5774,62.3305,0.1287,0.3452,0.1221,-0.1147,-0.9083,-0.3235,0.2571,-0.3592
3,532.9439,63.1465,0.1291,0.4664,0.0477,-0.0747,-0.8807,-0.4644,0.4936,-0.3555
4,533.5284,63.5355,0.2467,0.3863,0.0189,-0.1571,-0.6031,-0.6264,0.4619,-0.1014
0,533.0012,64.8272,0.27,0.3639,0.0252,-0.4488,-0.6691,-0.5671,0.1569,-0.3808
0,533.8325,65.3514,0.2648,0.3785,-0.1383,-0.4551,-0.7424,-0.4496,0.2694,-0.1668
0,533.721,67.0319,0.3543,0.3577,-0.2136,-0.8511,-0.4604,-0.4901,0.3206,-0.3603
0,532.9325,67.1702,0.4027,0.1654,-0.1447,-1.1589,-0.3501,-0.2944,0.3638,-0.2966
0,532.7435,67.5851,0.5247,0.2421,-0.1609,-1.2285,-0.0859,-0.4225,0.341,-0.2134
0,531.8603,67.9973,0.4553,0.1489,-0.4434,-1.4997,0.0248,-0.369,0.2489,-0.3775
0,531.5714,68.778,0.441,0.1378,-0.2509,-1.579,0.1038,-0.5942,0.3669,-0.2645
0,530.9854,68.9417,0.6244,0.2614,-0.2026,-1.59,-0.0665,-0.8266,0.6563,-0.219
0,530.2397,70.0691,0.6178,0.1563,-0.3279,-1.5913,0.1369,-0.4853,0.64,-0.1718
0,530.863,69.8059,0.6113,0.2709,-0.2369,-1.4527,0.1993,-0.5073,0.3173,-0.2294
0,531.8734,70.493,0.568,0.2367,-0.1618,-1.23,0.3915,-0.6142,0.5036,-0.0909
0,533.3207,72.234,0.6239,0.3114,-0.0377,-1.2103,0.3714,-0.7151,0.4176,-0.1404
0,534.8061,73.4966,0.6144,0.2424,0.0851,-1.1624,0.1181,-0.4584,0.4308,-0.2864
0,536.8218,75.722,0.6355,0.2167,0.0839,-0.8238,0.2567,-0.4069,0.1872,-0.1624
0,539.4612,76.631,0.693,0.1593,-0.0192,-0.8636,0.237,-0.2833,0.3327,-0.204
0,541.9069,77.0846,0.6985,0.163,0.0287,-0.7049,0.4186,-0.2828,0.1869,-0.1717
0,541.8033,79.2433,0.7193,0.2026,0.1661,-0.8093,0.0917,-0.2607,0.2441,-0.3514
0,541.7915,81.2326,0.7481,0.342,0.3261,-1.0945,-0.0074,-0.4176,0.2922,-0.0097
0,541.6537,82.3571,0.8008,0.2504,0.2194,-1.3696,0.3063,-0.4634,0.2345,-0.247
0,541.0586,85.3666,0.8684,0.1956,0.2202,-1.2744,0.1055,-0.1309,0.4369,-0.3479
0,539.7539,87.6502,0.9462,0.2178,0.2026,-1.3227,0.2867,-0.1547,0.3574,-0.3297
0,540.0163,89.8156,0.9983,0.3948,0.1567,-1.2807,0.3093,-0.0924,0.1263,-0.2119
