syllable,centroid x,centroid y,heading,latent_state 0,latent_state 1,latent_state 2,latent_state 3,latent_state 4,latent_state 5,latent_state 6
6,119.7004,64.0314,-1.8383,0.4539,-0.3889,-5.1144,-0.9471,0.4123,3.9617,2.7462
6,119.0188,63.7818,-1.8769,0.4756,-0.7474,-0.9796,2.1055,1.945,0.8517,1.2472
6,119.509,63.9592,-1.8398,0.0084,0.1599,-0.2867,-0.0088,-1.7408,2.4844,-0.1494
6,120.2808,63.5084,-1.8159,0.1782,0.154,-0.2058,0.2191,-0.7069,1.7699,1.0568
6,120.2613,62.9801,-1.7641,0.1596,-0.0514,0.0543,0.4731,-0.725,1.9982,0.9315
6,120.7847,62.9655,-1.7688,0.1411,0.0751,-0.1628,0.5068,-0.8054,2.0988,0.9342
6,120.2461,62.9015,-1.79,0.0268,-0.0578,0.0322,0.3013,-0.8121,2.014,0.8928
6,121.0849,63.1885,-1.764,0.0421,0.0726,-0.4482,0.4406,-0.8901,1.9418,0.8388
6,120.9984,62.9542,-1.7749,0.0864,0.0219,-0.3115,0.3301,-0.9229,1.8003,0.92
6,121.2213,63.1012,-1.7107,-0.1028,-0.0362,-0.313,0.4662,-0.8091,1.9979,0.9498
6,121.5147,63.4148,-1.7135,-0.0464,0.0385,-0.2229,0.4218,-0.6998,1.8427,0.9606
6,122.3218,63.0136,-1.6997,0.015,-0.176,-0.2751,0.3213,-0.7616,1.9296,0.7484
6,122.5859,62.5384,-1.6768,0.0291,-0.1114,-0.4321,0.6188,-1.0115,1.7389,0.9157
6,122.3443,62.2984,-1.6569,-0.159,-0.2562,-0.4775,0.4137,-0.7426,1.8498,0.8913
6,122.5476,61.897,-1.6838,-0.0611,0.0468,-0.6595,0.5643,-0.8149,1.5969,1.0674
6,122.7528,61.3617,-1.6385,-0.0886,-0.134,-0.7676,0.563,-0.6711,1.4898,1.0529
6,123.5239,61.9234,-1.6839,-0.0831,-0.0944,-0.8075,0.5631,-0.8929,1.3931,0.9152
6,123.8178,62.4813,-1.6142,-0.0761,-0.0848,-0.6395,0.7165,-0.8803,1.407,0.9293
6,124.1301,62.3666,-1.626,-0.1023,0.096,-0.5305,0.5604,-0.8056,1.3907,0.9543
6,124.3927,62.7596,-1.6226,0.0018,-0.0252,-0.7681,0.5405,-0.9988,1.3512,1.1226
6,125.2419,62.9251,-1.5692,-0.0551,-0.1009,-0.6534,0.3534,-0.8686,1.734,1.1313
6,125.478,62.7836,-1.5157,-0.0392,0.052,-0.9282,0.4651,-0.7701,1.6301,1.2449
6,126.0845,61.8863,-1.5353,-0.0438,-0.1506,-0.4861,0.5353,-0.8613,1.6381,1.1121
6,127.1744,61.9138,-1.4639,-0.1406,-0.2804,-0.8031,0.5549,-0.9345,1.7924,0.9948
6,127.4795,62.7901,-1.4983,-0.101,-0.124,-0.7984,0.6753,-0.9514,1.621,0.8197
6,126.9492,63.1813,-1.4395,-0.1508,-0.0933,-0.9665,0.5962,-0.7416,1.7949,0.8878
6,127.7898,63.6153,-1.5388,-0.1281,0.1168,-1.2069,0.7673,-1.0015,1.5847,0.9672
10,127.214,63.8036,-1.5227,-0.2176,-0.0324,-1.0685,0.5036,-0.706,1.4544,0.9064
10,127.2108,64.814,-1.3964,-0.2094,-0.1564,-1.0954,0.8293,-0.7822,1.3503,1.0424
10,126.7225,63.819,-1.2943,-0.3094,-0.2628,-0.7681,0.7931,-0.8279,1.2115,1.0049
26,126.281,63.6105,-1.2948,-0.3784,-0.3549,-0.2986,0.7381,-0.7506,0.9085,0.9811
26,125.6724,62.9609,-1.2295,-0.3755,-0.2896,-0.0668,0.5714,-0.5885,0.6796,0.9321
26,125.6158,64.375,-1.1847,-0.2685,-0.3348,0.1713,0.5626,-0.8281,0.8914,0.5517
26,124.6809,64.3821,-1.1923,-0.3615,-0.4407,0.3017,0.3859,-0.5064,0.3887,0.7735
30,125.6342,66.1453,-2.1916,-2.0259,-2.7272,4.2628,-6.2946,10.427,-9.3384,-2.7823
12,126.3338,65.8741,-2.0606,-2.1329,-2.9067,4.3431,-6.316,10.7902,-9.384,-3.0266
12,127.8997,64.8365,-2.0373,-2.1228,-2.996,4.4436,-6.4131,11.2065,-9.6933,-2.965
