syllable,label,short_description,movie_path
0,head turn,,MoSeq_iter3\2024_04_30-16_52_29\grid_movies\syllable0.mp4
1,walk start,,MoSeq_iter3\2024_04_30-16_52_29\grid_movies\syllable1.mp4
2,rear,,MoSeq_iter3\2024_04_30-16_52_29\grid_movies\syllable2.mp4
3,stop,,MoSeq_iter3\2024_04_30-16_52_29\grid_movies\syllable3.mp4
4,turn,,MoSeq_iter3\2024_04_30-16_52_29\grid_movies\syllable4.mp4
5,turn,,MoSeq_iter3\2024_04_30-16_52_29\grid_movies\syllable5.mp4
6,stop,,MoSeq_iter3\2024_04_30-16_52_29\grid_movies\syllable6.mp4
7,rear,,MoSeq_iter3\2024_04_30-16_52_29\grid_movies\syllable7.mp4
8,walk,,MoSeq_iter3\2024_04_30-16_52_29\grid_movies\syllable8.mp4
9,turn run,,MoSeq_iter3\2024_04_30-16_52_29\grid_movies\syllable9.mp4
10,run,,MoSeq_iter3\2024_04_30-16_52_29\grid_movies\syllable10.mp4
11,circling,,MoSeq_iter3\2024_04_30-16_52_29\grid_movies\syllable11.mp4
12,stop,,MoSeq_iter3\2024_04_30-16_52_29\grid_movies\syllable12.mp4
13,turn run,,MoSeq_iter3\2024_04_30-16_52_29\grid_movies\syllable13.mp4
14,walk start,,MoSeq_iter3\2024_04_30-16_52_29\grid_movies\syllable14.mp4
15,walk,,MoSeq_iter3\2024_04_30-16_52_29\grid_movies\syllable15.mp4
16,run,,MoSeq_iter3\2024_04_30-16_52_29\grid_movies\syllable16.mp4
17,slow down,,MoSeq_iter3\2024_04_30-16_52_29\grid_movies\syllable17.mp4
18,freeze,,MoSeq_iter3\2024_04_30-16_52_29\grid_movies\syllable18.mp4
19,stop,,MoSeq_iter3\2024_04_30-16_52_29\grid_movies\syllable19.mp4
20,hesitate,,MoSeq_iter3\2024_04_30-16_52_29\grid_movies\syllable20.mp4
21,turn run,,MoSeq_iter3\2024_04_30-16_52_29\grid_movies\syllable21.mp4
22,run,,MoSeq_iter3\2024_04_30-16_52_29\grid_movies\syllable22.mp4
23,walk,,MoSeq_iter3\2024_04_30-16_52_29\grid_movies\syllable23.mp4
24,turn,,MoSeq_iter3\2024_04_30-16_52_29\grid_movies\syllable24.mp4
25,hesitate,,MoSeq_iter3\2024_04_30-16_52_29\grid_movies\syllable25.mp4
26,speed up,,MoSeq_iter3\2024_04_30-16_52_29\grid_movies\syllable26.mp4
27,turn run,,MoSeq_iter3\2024_04_30-16_52_29\grid_movies\syllable27.mp4
28,walk,,MoSeq_iter3\2024_04_30-16_52_29\grid_movies\syllable28.mp4
29,,,
30,,,
31,,,
32,,,
33,,,
34,,,
35,,,
36,,,
37,,,
38,,,
39,,,
40,,,
41,,,
42,,,
43,,,
44,,,
45,,,
46,,,
47,,,
48,,,
49,,,
50,,,
51,,,
52,,,
53,,,
54,,,
55,,,
56,,,
57,,,
58,,,
59,,,
60,,,
61,,,
62,,,
63,,,
64,,,
65,,,
66,,,
67,,,
68,,,
69,,,
70,,,
71,,,
72,,,
73,,,
74,,,
75,,,
76,,,
77,,,
78,,,
79,,,
80,,,
81,,,
82,,,
83,,,
84,,,
85,,,
86,,,
87,,,
88,,,
89,,,
90,,,
91,,,
92,,,
93,,,
94,,,
95,,,
96,,,
97,,,
98,,,
