,Transitions,Unique,Entropy,Entropy_transitions,Local Entropy,Group
0,1.8632659305204016,41,0.43223618687067616,8.643816551161873,5.586125067811377,Control_22-24
1,1.8236194185561272,42,0.43223955510768436,8.643809445378333,5.41818895406734,Control_22-24
2,1.8619136334566082,41,0.43224722904125445,8.643810835282098,5.406410579107353,Control_22-24
3,1.894289050770172,46,0.4322311904830236,8.643819933444167,5.451335147694275,Control_22-24
4,1.4674638487208007,40,0.4322489615800602,8.6438014465732,5.447641861311509,Control_22-24
5,1.7124506478340658,47,0.43223835352195217,8.643812655054251,5.35192849574206,Control_22-24
6,1.7089188813134828,39,0.43224632950249525,8.643812321691493,5.477672157012957,Control_22-24
0,1.578376272884091,38,0.4322673899561645,8.643780946513653,5.078857851113521,MitoPark_6-8
1,1.585698031238148,41,0.43224335000527336,8.643805508457909,5.306087176672067,MitoPark_6-8
2,1.6146916146916146,38,0.43226697998237085,8.643787861303824,5.025107290139919,MitoPark_6-8
3,1.5852058857077678,40,0.43224582917708276,8.643811035076533,5.315013261983049,MitoPark_6-8
4,1.397646661412003,39,0.4322619999254942,8.643794944085876,5.122986910671074,MitoPark_6-8
5,1.4739262887521654,41,0.4322554589040294,8.643798397489425,5.142423479418981,MitoPark_6-8
6,1.5538679796378203,40,0.43224917300335997,8.643802465123674,5.422237578968377,MitoPark_6-8
7,1.6150830065904729,46,0.43224053596830725,8.643809626204341,5.541665003035409,MitoPark_6-8
8,1.5469597649186257,41,0.4322453013094416,8.643804832828803,5.37705147755002,MitoPark_6-8
9,1.5267812447855833,41,0.43225042063638824,8.643806389962622,5.219835164497914,MitoPark_6-8
10,1.752238972019803,40,0.43223342358996675,8.64381658752565,5.5260967461811665,MitoPark_6-8
0,1.725730180806676,54,0.43224537838741406,8.643803434301201,5.3737046893978295,MitoPark_12-14
1,1.5516809877367148,44,0.4322327176763773,8.643799899396834,5.194899548222836,MitoPark_12-14
2,1.5017520440513934,36,0.43226938818617366,8.643789085225258,5.179433757024837,MitoPark_12-14
3,1.2490613266583228,35,0.4322704878121002,8.643786922092865,5.0354708056090285,MitoPark_12-14
4,1.5577260205359378,44,0.432239945175932,8.64381063018772,5.427003874764991,MitoPark_12-14
5,1.5469336670838547,48,0.4322494085885312,8.643798957695857,5.239891181458499,MitoPark_12-14
6,1.3262525718734361,32,0.4322552532405171,8.643797867472749,5.450829846582676,MitoPark_12-14
7,1.3684532584207159,31,0.43228222771111696,8.643770866547506,4.982303108879899,MitoPark_12-14
0,0.7491865735977085,36,0.43223573474355276,8.643816172935919,5.0566194936553135,MitoPark_22-24
1,1.1470759989989154,38,0.43223400329802086,8.643810423950502,5.260546791090448,MitoPark_22-24
2,0.7090423757090424,30,0.43224757830376903,8.643810576998304,5.268285815002037,MitoPark_22-24
3,0.7649528682256764,33,0.4322575386331093,8.643797606295685,5.010390679862656,MitoPark_22-24
4,0.8067296996662958,30,0.43225161618695485,8.643801362498463,5.284184710032714,MitoPark_22-24
5,0.96868394704639,36,0.4322404791901143,8.643807565942264,5.107086123322612,MitoPark_22-24
6,0.6422196891767911,33,0.4322327692141865,8.643817980278676,5.410513585576602,MitoPark_22-24
7,0.853448275862069,38,0.4322243714784787,8.643821309323691,5.072892167697924,MitoPark_22-24
8,1.0137390143508733,49,0.43223610662197043,8.643814234138283,5.06931074264829,MitoPark_22-24
