syllable,centroid x,centroid y,heading,latent_state 0,latent_state 1,latent_state 2,latent_state 3,latent_state 4,latent_state 5
13,153.4113,296.3305,1.5008,-1.4144,-0.7422,-2.7432,1.5268,3.5855,2.1773
13,154.6685,296.6918,1.499,1.2245,-3.6974,-2.9295,-1.0978,0.0204,-0.1581
13,155.691,298.0605,1.2327,0.0694,-1.6296,-0.7726,-0.1947,0.3089,1.3999
13,155.8392,300.2054,1.1244,0.53,-1.5506,-0.8479,0.1478,0.1605,0.6585
13,156.2766,302.29,1.2471,0.44,-1.235,-0.9813,0.1155,0.1846,0.4731
13,158.9821,303.5423,1.0534,0.578,-1.3659,-0.9191,0.2435,0.281,0.3085
13,159.9087,306.2613,1.0594,0.5792,-1.3674,-0.9436,0.2709,0.3059,0.3012
13,161.511,306.4293,0.9632,0.5402,-1.2747,-0.8234,0.1279,0.3972,0.0753
13,164.4983,306.2234,0.8826,0.6272,-1.3803,-0.8846,0.2115,0.3002,0.2201
13,166.0174,306.2962,0.5927,0.6333,-1.4253,-0.8632,0.2945,0.1297,0.1134
13,168.5582,305.623,0.6322,0.8884,-1.3701,-1.0975,0.5192,0.049,0.1728
13,172.1871,305.9777,0.556,0.9038,-1.3086,-0.9842,0.4806,-0.0044,0.1456
26,175.563,306.7831,0.4153,0.7979,-1.2788,-0.7694,0.7343,-0.0805,0.2739
26,178.2204,307.4914,0.377,0.9411,-1.1224,-0.8883,0.7723,-0.41,0.3726
26,181.5674,309.0168,0.3987,1.1172,-1.2152,-1.1186,0.8012,-0.58,0.1631
26,185.3801,310.8942,0.3623,1.1188,-1.17,-1.0603,0.8408,-0.2096,0.3375
26,188.9434,311.9982,0.2782,1.1878,-1.2156,-1.1971,1.2739,-0.4797,0.47
26,193.7452,313.2399,0.2483,1.5141,-1.1807,-1.1549,1.2119,-0.6267,0.573
26,196.7046,313.3373,0.223,1.6182,-1.3574,-0.846,1.2191,-1.1022,0.4108
