syllable,centroid x,centroid y,heading,latent_state 0,latent_state 1,latent_state 2,latent_state 3,latent_state 4,latent_state 5
28,36.1829,140.4129,2.1634,2.7398,-4.0467,1.699,-1.0942,-1.9662,-0.0512
28,35.9541,142.284,1.8659,1.6624,-1.4012,2.0576,-3.0869,1.5265,-1.5117
28,35.0092,144.259,1.899,1.1074,-0.578,-0.668,1.2702,-0.3532,0.2503
28,33.4559,146.6474,1.883,0.9334,-0.7013,-0.0296,0.4504,-0.8529,0.319
28,32.6167,149.9322,1.8968,1.0232,-0.5613,-0.3342,-0.0418,-0.0451,-0.5054
28,31.9194,152.3566,1.8511,0.9603,-0.4805,-0.2136,0.4164,-0.0861,0.3494
28,30.6785,154.1002,1.7534,0.8527,-0.6635,-0.5268,0.2674,0.0323,0.0975
28,31.2276,156.5614,1.7315,0.6661,-0.5859,-0.4041,0.0673,-0.2248,-0.1108
28,30.0038,159.8124,1.6186,0.6244,-0.5578,-0.3553,0.0407,0.3038,-0.4305
28,30.242,162.5763,1.7395,0.6762,-0.4632,-0.5736,0.1303,-0.0257,-0.2665
28,30.4662,165.1772,1.659,0.6166,-0.5842,-0.3715,0.4114,0.0536,-0.304
28,29.8388,168.6296,1.6361,0.6446,-0.6433,-0.459,-0.1745,0.2943,0.0322
28,30.3928,170.985,1.6846,0.656,-0.6484,-0.6128,-0.1075,0.4227,-0.0209
28,29.5161,173.8777,1.6214,0.5117,-0.8713,-0.524,-0.0081,0.3753,-0.3693
28,29.9627,176.9805,1.6394,0.556,-1.0074,-0.727,-0.2497,0.076,-0.0677
28,30.2651,180.3702,1.5777,0.5295,-0.831,-0.7991,-0.32,0.2519,-0.4124
28,30.0464,184.3324,1.4916,0.6145,-0.8242,-0.657,-0.3455,0.2145,-0.4526
28,30.715,187.688,1.5037,0.7953,-0.9749,-0.4567,-0.2088,-0.1174,-0.2221
28,29.6425,190.4511,1.4693,0.8102,-0.9844,-0.2761,-0.8316,-0.0671,-0.2451
