syllable,centroid x,centroid y,heading,latent_state 0,latent_state 1,latent_state 2,latent_state 3,latent_state 4,latent_state 5
11,187.7124,132.9175,-1.3053,0.9886,-3.8937,1.0736,-1.9376,1.9616,0.5954
11,187.8255,132.4461,-1.1788,0.8773,-0.9555,2.9947,-0.332,0.8814,-0.892
11,188.283,132.8004,-1.3821,1.1799,-1.4387,0.6374,-0.2097,0.8879,0.8096
11,187.3032,133.2908,-1.4306,0.9912,-1.3713,0.7198,-0.3256,1.0897,0.3368
11,186.229,132.4998,-1.3962,1.1353,-1.1144,1.102,0.1131,0.9593,-0.446
11,185.1834,131.6588,-1.4669,1.0408,-1.1657,0.715,-0.064,0.8917,0.0012
11,184.8735,130.1439,-1.5128,1.1974,-1.0092,0.6482,-0.1797,0.9849,0.146
11,184.8595,128.9262,-1.4569,1.0534,-1.0642,0.7189,0.1465,1.1258,-0.5294
11,184.3033,127.5202,-1.6007,1.0461,-1.2089,0.7021,-0.0111,1.0,0.121
11,183.3713,126.4366,-1.5087,1.2108,-1.0143,0.6963,-0.1111,0.7096,0.1608
11,183.2376,125.4241,-1.5772,0.9802,-1.1613,0.8393,-0.1246,0.7134,0.0334
11,183.7305,125.4448,-1.5886,1.1692,-1.1787,0.7675,-0.1867,0.7452,0.1365
0,183.6777,125.4499,-1.6524,0.9481,-1.1697,0.6538,-0.2374,0.7832,-0.3154
0,183.2927,125.0455,-1.5833,0.9099,-1.2413,0.649,-0.1158,0.5791,-0.1844
0,183.5167,124.1565,-1.6857,0.897,-1.3032,0.5843,0.1686,1.1054,-0.071
0,182.5543,125.0678,-1.7135,0.9613,-1.3768,0.6305,0.0052,0.5476,-0.3383
0,182.7744,125.4305,-1.7442,0.8882,-1.5426,0.9851,0.0154,0.5524,-0.706
0,182.5742,126.3838,-1.7534,0.8273,-1.6399,0.8238,0.1559,1.0856,-0.4947
0,182.1647,125.6643,-1.7836,0.8082,-1.5141,0.9495,0.0589,0.9754,-0.4581
0,181.3757,125.3293,-1.8996,0.8099,-1.4734,0.9671,-0.3084,0.7477,-1.0021
0,180.2804,125.5946,-1.8629,0.743,-1.5294,1.0915,-0.1181,1.0,-0.8776
0,179.2046,125.6683,-1.9251,0.862,-1.6101,1.0266,-0.0399,0.9545,-0.949
0,177.6514,125.1483,-1.9409,0.7624,-1.7073,0.8978,-0.4008,1.0195,-1.0785
0,176.5115,124.957,-2.0371,0.8208,-1.857,0.9585,-0.5103,1.1554,-0.9646
0,175.5397,125.73,-2.0147,0.7172,-1.7887,0.9594,-0.2681,0.9406,-0.7729
0,174.3998,125.2645,-2.1016,0.8121,-1.7874,0.9224,-0.7326,0.9443,-0.8874
0,174.3375,125.1674,-2.1688,0.7688,-1.6309,0.8653,-0.5651,1.1532,-0.841
0,173.1394,124.8251,-2.0529,0.8458,-1.7174,0.7241,-0.4897,1.0433,-0.8249
0,173.3905,124.5481,-2.0421,0.8184,-1.5754,0.8827,-0.4783,1.1713,-0.8614
0,172.984,123.9931,-2.1767,0.7249,-1.5334,1.0291,-0.3062,1.2233,-0.9374
0,172.8383,123.8037,-2.1289,0.7547,-1.6123,0.9179,-0.3584,1.3581,-0.5511
0,172.4086,123.3351,-2.0894,0.7941,-1.666,0.6436,-0.5075,1.435,-0.6336
0,172.1076,123.7472,-2.0764,0.6042,-1.6638,0.9051,-0.4664,1.2693,-0.8176
0,172.11,123.44,-2.1153,0.4696,-1.543,0.8948,-0.6857,1.1299,-0.9161
0,172.5417,123.5746,-2.1468,0.5208,-1.6111,0.9993,-0.6302,0.8757,-0.643
0,172.3743,123.5086,-2.1207,0.4589,-1.5721,0.9588,-0.3054,1.0403,-0.747
0,171.6971,123.8586,-2.1744,0.4694,-1.4858,0.8723,-0.2723,0.6084,-0.5887
0,170.8747,122.702,-2.2322,0.603,-1.4779,1.0404,-0.2035,1.354,-0.4169
0,170.2055,122.6748,-2.318,0.4908,-1.5988,1.063,-0.0036,1.0876,-0.617
0,169.9236,122.8726,-2.3391,0.4255,-1.744,0.749,-0.0991,0.7284,-0.5775
1,170.0929,123.1048,-2.4582,0.4638,-1.8534,0.7766,-0.0769,0.9839,-0.6137
1,168.8688,123.0246,-2.3416,0.4348,-2.1095,0.3579,0.2012,0.7154,-0.2929
