syllable,centroid x,centroid y,heading,latent_state 0,latent_state 1,latent_state 2,latent_state 3,latent_state 4,latent_state 5
0,300.1864,267.1308,1.574,-1.3485,-3.503,-3.1298,-0.9788,1.3504,-3.3889
0,301.6994,266.8574,1.3391,1.3425,2.0345,-2.66,1.9419,-1.4063,-1.0806
0,301.211,267.682,1.4714,0.6576,-0.5276,0.8863,-0.0583,-0.2673,0.6274
0,302.0619,266.9884,1.482,0.6549,0.0707,-0.5409,0.3115,-0.3031,-0.6604
0,302.2552,267.0463,1.3781,0.7411,-0.0592,-1.014,0.6588,-0.3265,-0.49
0,302.1207,267.2092,1.3809,0.6709,-0.0717,-0.4499,0.2862,-0.292,-0.0575
0,302.4657,266.8108,1.4264,0.6104,-0.0254,-0.3553,0.4873,-0.1965,-0.1991
0,301.7172,266.819,1.4761,0.5015,0.0705,-0.4942,0.6301,-0.175,-0.2513
0,301.4955,266.4947,1.4136,0.4301,0.0557,-0.5948,0.6796,-0.1355,-0.3942
0,301.7953,266.2276,1.3965,0.3115,0.0311,-0.4601,0.3526,0.2758,-0.3919
0,301.2797,266.9734,1.431,0.4309,-0.0417,-0.5015,0.7672,-0.0213,-0.0272
0,301.979,266.9892,1.4936,0.3494,0.3353,-0.7677,0.626,-0.4793,-0.4661
0,301.8099,266.9465,1.3934,0.474,0.245,-0.8287,0.7039,-0.3133,-0.0153
0,301.5169,266.9342,1.4503,0.4558,0.2025,-0.7344,0.5547,0.0466,-0.0218
0,301.8329,267.2378,1.4008,0.4059,0.1939,-0.6901,0.5029,-0.2347,0.0622
0,301.1652,267.8478,1.4572,0.5987,0.2917,-0.6813,0.6931,-0.0991,-0.1397
0,300.9053,268.729,1.5131,0.7062,0.4412,-0.6139,0.9957,-0.1258,-0.2523
0,300.0406,268.7029,1.5351,0.7139,0.5302,-0.5783,0.8032,-0.1451,-0.2869
0,300.0822,268.3597,1.6361,0.7265,0.7082,-0.524,0.8413,0.0448,-0.0697
0,300.0879,269.2324,1.6129,0.7036,0.8687,-0.3921,1.1182,-0.1506,-0.1946
0,300.1587,270.8987,1.6244,0.5412,0.8531,-0.6703,0.6651,0.2275,-0.4351
0,299.4594,272.5529,1.6581,0.6816,0.8821,-0.6056,0.8855,0.2694,0.1156
0,299.1712,274.0644,1.7005,0.8674,0.7521,-0.3239,1.1928,-0.2152,0.3434
0,299.209,276.3426,1.6415,0.9388,0.7068,-0.7365,0.7889,-0.0594,0.3442
0,298.3136,279.7448,1.6556,0.8798,0.6191,-0.6367,0.8957,0.1277,0.1983
0,297.9223,283.4299,1.6612,0.7908,0.6549,-0.4517,0.6748,0.4263,0.1766
0,297.2865,285.9154,1.6768,0.9665,0.8311,-0.4022,0.6364,0.6593,0.6308
0,297.3885,289.2418,1.6466,1.0144,0.729,-0.4557,0.7343,0.0878,0.2313
0,297.0661,291.75,1.7655,1.0159,0.9881,-0.4128,0.5583,0.2438,-0.0194
0,295.9181,293.9797,1.7407,1.1081,0.8876,-0.4273,0.5742,0.3949,0.1835
0,295.1818,294.8439,1.7733,0.9814,0.8443,-0.6122,0.414,-0.0763,-0.0702
0,294.9137,295.3302,1.8257,0.9587,0.6853,-0.6115,0.4735,-0.1836,-0.1402
0,295.7317,295.0411,1.7733,1.0456,0.6624,-0.7465,0.3392,0.37,0.5168
0,295.5168,294.8802,1.7096,1.0434,0.6995,-0.5836,0.4331,-0.0752,0.543
0,295.5485,293.4925,1.7743,1.0177,0.6734,-0.5173,0.572,0.281,0.2753
