syllable,centroid x,centroid y,heading,latent_state 0,latent_state 1,latent_state 2,latent_state 3,latent_state 4,latent_state 5
5,303.4642,93.6386,-2.0426,-4.6275,0.5992,1.8985,0.1995,-1.9809,2.4846
5,303.7613,94.5521,-1.5495,-0.5592,-0.8506,-0.0532,-1.1103,0.8933,1.9343
5,303.9865,94.1364,-1.5794,0.1769,-0.6297,-0.1145,0.4624,0.6764,-0.2649
5,304.5488,92.2075,-1.5303,0.8808,-0.687,0.1552,0.5107,0.3599,1.6359
5,304.2749,88.3416,-1.6,0.8151,-0.8023,-0.0784,0.172,0.3488,1.0565
5,304.1848,84.2833,-1.6057,0.8941,-0.7041,0.0965,0.0609,0.6681,0.6666
1,304.1863,81.8276,-1.5665,0.6095,-0.5316,-0.2915,0.3186,0.1699,0.5879
1,304.0436,80.446,-1.5156,0.5985,-0.5961,-0.2701,0.0597,0.2858,0.9518
1,303.3966,78.8118,-1.5676,0.3458,-0.7635,-0.1928,0.0599,0.2407,0.768
1,303.8558,75.3484,-1.5178,0.3079,-0.7864,-0.4543,0.2252,0.1337,0.8954
3,304.3844,72.0775,-1.5758,0.098,-1.2284,-0.1479,-0.1766,0.7781,0.6133
3,303.6492,68.392,-1.5946,0.1148,-1.1777,-0.1211,-0.097,0.6848,0.8115
3,303.8869,65.2195,-1.656,0.1019,-1.353,-0.1567,-0.1939,0.8077,1.0164
3,304.0792,63.0947,-1.6271,0.0533,-1.1226,0.0007,0.096,0.4156,0.7034
3,303.8003,61.1717,-1.6031,0.0344,-1.2018,0.0925,0.0453,0.1838,0.5422
3,303.3346,58.8996,-1.746,0.051,-1.2037,0.058,0.0503,-0.0615,0.7167
3,303.8691,55.9689,-1.6533,-0.0463,-1.548,0.4537,-0.3664,0.6623,0.5683
14,303.4396,54.028,-1.6378,-0.2105,-1.3208,0.3025,0.0932,-0.0513,0.6418
14,303.5274,51.9611,-1.6923,-0.0628,-1.049,0.0283,-0.1508,0.0434,0.5754
14,303.4549,48.7839,-1.5894,-0.1478,-0.9284,0.1048,-0.0738,-0.4022,0.9077
14,303.9769,46.6692,-1.6697,-0.1016,-1.0367,-0.1966,0.2127,-0.0731,1.1445
14,303.5601,44.5694,-1.5845,-0.1591,-0.9895,0.0628,-0.1357,-0.1638,0.8594
14,303.6026,43.6684,-1.5606,-0.0755,-0.6493,0.0083,-0.0163,-0.4009,0.9967
14,304.1326,42.733,-1.6038,0.0654,-0.9061,-0.1615,-0.1427,0.1762,0.926
14,304.7544,42.3175,-1.4308,0.286,-0.5964,0.345,-0.2341,-0.4856,0.6313
14,305.2345,41.6388,-1.5281,0.2408,-0.3181,0.0728,0.1383,-0.3842,1.1478
14,306.285,41.1493,-1.5244,0.2169,0.0494,-0.0489,0.0617,-0.3089,1.1056
14,306.2908,40.9127,-1.4389,0.275,0.1241,-0.3741,0.2158,-0.2947,1.3029
14,306.7208,40.6732,-1.4538,0.6098,0.1427,-0.1407,-0.1371,-0.6492,1.7434
14,305.7585,40.6752,-1.4283,0.423,-0.0018,-0.0608,0.0456,-0.3174,0.708
14,307.0778,39.2505,-1.3704,0.3891,0.1377,-0.1182,-0.1664,-0.3283,1.0108
14,306.4629,38.6709,-1.3416,0.5481,0.2368,0.2073,-0.1804,-0.8453,1.2843
14,306.8272,38.1063,-1.3696,0.685,0.4087,0.346,-0.1152,-0.6426,1.0704
14,308.0326,37.888,-1.3079,0.7302,0.6394,0.1587,-0.006,-0.7084,1.588
0,308.109,37.0816,-1.3464,0.5907,0.5721,0.109,-0.0605,-0.8254,1.1119
0,308.1957,37.6462,-1.3053,0.6423,0.6334,0.3173,0.094,-0.9652,1.4555
0,307.2385,36.4659,-1.2482,0.7359,0.5858,0.2612,0.0179,-0.5765,1.5246
0,307.1281,36.7192,-1.2143,0.7136,0.4125,0.2138,0.0597,-1.1149,1.7207
