syllable,centroid x,centroid y,heading,latent_state 0,latent_state 1,latent_state 2,latent_state 3,latent_state 4,latent_state 5
23,62.9787,305.3794,-3.0734,1.3179,-2.7017,-5.451,-1.3844,4.7802,-2.0504
23,61.2674,305.9521,-3.0692,-1.2081,-2.1659,5.1231,-2.7988,2.9355,1.0292
23,61.5456,305.3309,-3.0025,1.9689,0.8776,-1.0246,1.6404,-0.4237,-0.1282
23,59.8644,306.1379,-3.0356,1.2615,0.8982,-0.2763,1.8947,1.3063,1.4918
23,56.7593,306.2295,-3.0538,1.6084,1.0615,-0.5301,1.0482,1.1186,0.6763
23,54.8852,307.0501,-2.9971,1.5231,0.8769,-0.53,1.4833,0.7383,0.1856
23,51.452,307.853,-3.0813,1.6734,0.9189,-0.7588,1.0324,0.6737,0.6692
23,48.8088,308.1246,-3.0511,1.4434,0.9214,-0.923,1.1623,0.8423,0.2717
23,46.7393,308.6569,-2.9368,1.3301,0.9619,-0.8742,1.3061,0.6568,0.2199
23,44.4851,309.5907,-2.9899,1.3824,0.7303,-0.9842,1.0609,0.9891,0.2965
23,42.2445,309.8084,-3.0463,1.6042,0.6362,-1.0121,0.7832,0.8753,-0.0099
23,40.0147,309.2507,-3.0756,1.7456,0.4499,-0.9799,0.7502,0.9307,0.4539
23,39.3039,309.6472,3.125,1.8494,0.2002,-0.996,0.6308,0.7124,-0.0554
23,39.8287,310.2372,3.1285,1.9709,-0.012,-1.0793,0.704,1.024,0.0605
23,39.8359,309.8145,3.0557,1.7445,-0.278,-1.0482,0.6926,0.9563,-0.0718
0,39.5907,310.0351,3.1101,1.8397,-0.3696,-0.9339,0.6479,1.0705,-0.3598
0,39.7743,309.8187,-3.1295,1.7858,-0.3866,-0.9369,0.5441,1.3278,0.3819
0,40.7391,311.3201,3.055,1.6699,-0.4189,-1.0234,0.5313,1.0268,0.2971
0,41.2691,311.033,3.0857,1.612,-0.4864,-1.0977,0.6093,1.1275,0.046
0,42.9227,310.4105,3.0696,1.503,-0.502,-1.1325,0.666,1.1557,0.1152
0,44.2123,309.6778,3.1024,1.6072,-0.6773,-1.0077,0.6637,1.5263,0.3118
0,44.1792,310.8839,2.9978,1.4872,-0.7371,-1.1753,0.1793,1.4451,0.1644
0,44.0055,311.8311,3.0247,1.6558,-0.7711,-0.9584,0.9571,1.4047,0.305
0,45.7182,311.2667,2.9841,1.5135,-1.0659,-1.1302,0.6374,1.1126,0.2101
0,45.3972,312.2943,2.9093,1.5406,-1.1044,-1.3144,0.4631,1.4878,0.2726
0,45.648,312.1461,2.9305,1.4767,-1.1395,-1.1657,0.4503,1.2005,0.2814
0,45.459,312.5796,2.9075,1.4167,-1.232,-1.1376,0.4906,1.6228,0.8735
1,46.0523,312.915,2.8482,1.0801,-1.122,-1.0742,0.5831,1.4103,0.437
1,45.2614,313.3021,2.7811,1.4441,-1.4815,-0.7133,0.4085,1.3687,0.4008
0,44.3503,313.7591,2.8701,1.4364,-1.4155,-1.2433,0.3702,1.1808,0.5182
0,43.262,313.7169,2.804,1.4823,-1.6469,-1.1301,0.3614,1.2363,0.4689
0,41.8542,314.3065,2.7881,1.4862,-1.5214,-1.2569,0.625,1.3725,0.4802
0,40.3712,314.2103,2.6925,1.6279,-1.5758,-1.4181,0.5035,0.6788,0.7152
2,41.0152,314.4801,2.8452,1.3931,-1.4319,-1.6518,0.7341,1.1843,0.2369
2,41.2267,313.7809,2.8614,1.5016,-1.106,-1.4851,0.6182,0.9907,0.501
2,41.663,312.8161,2.8622,1.3661,-0.7989,-1.7336,0.9736,1.0303,0.4055
2,42.7665,312.274,2.9224,1.5841,-0.1669,-1.1378,0.5756,0.9265,0.4347
2,45.1209,310.4435,3.1055,1.2142,0.324,-1.227,0.5771,1.0834,0.4051
2,48.3825,308.0791,-3.0839,1.0968,0.8215,-0.8494,0.7371,1.1404,0.2334
2,51.1639,307.0144,-2.8837,0.819,1.1718,-0.8654,0.8347,0.7428,-0.2434
2,51.2743,306.2458,-2.8523,0.6162,1.7171,-0.4511,0.5809,0.3869,-0.3384
5,52.4246,306.1295,-2.8095,0.5599,1.5068,-0.5334,0.4889,1.0687,-0.1236
5,52.3172,304.5681,-2.7638,0.7139,1.6678,-0.2434,0.475,0.6413,-0.322
5,51.578,303.3566,-2.6831,0.8314,1.3175,0.0078,0.4656,0.9719,0.2308
5,51.4108,300.8748,-2.5921,1.0974,1.3141,0.0518,0.435,1.1529,0.2002
5,49.598,299.0571,-2.5765,1.1017,1.1668,0.2865,0.7152,1.0812,-0.106
5,48.081,297.732,-2.5793,1.1624,1.0923,0.1399,0.7251,0.9837,0.2499
5,45.8576,296.5198,-2.6311,1.1042,0.8905,0.1137,0.4924,1.1694,0.7557
5,43.9728,294.4859,-2.5921,1.1658,0.7996,0.2018,0.5084,1.4859,0.5581
5,41.1449,292.7569,-2.4939,1.2064,0.6626,0.1345,0.4218,1.0378,0.7478
5,38.8046,291.0296,-2.4383,1.2732,0.547,0.2485,0.3601,0.9504,0.5829
5,36.0191,288.7184,-2.4339,1.3047,0.4591,0.0963,0.3572,0.8718,0.9504
5,34.2484,287.1097,-2.321,1.271,0.4895,0.2532,0.4373,0.6991,0.4228
5,33.1952,284.5242,-2.3179,1.2706,0.2963,0.249,0.3635,1.1171,0.3055
5,30.9361,282.842,-2.2831,1.3704,0.5452,0.4886,0.4093,1.6105,0.4095
5,29.9283,280.497,-2.3078,1.4289,0.3326,0.51,0.3763,1.55,0.2133
5,29.1261,278.8867,-2.2586,1.48,0.385,0.5198,0.6803,1.0585,0.1644
5,28.4924,278.1705,-2.2501,1.5829,0.5253,0.7744,0.2809,1.2482,0.4443
5,27.7053,277.6304,-2.2989,1.4625,0.5823,0.4684,0.2483,1.0154,0.17
5,27.356,277.6875,-2.2758,1.4502,0.6114,0.4434,0.4639,1.007,0.8135
5,27.0934,276.8408,-2.2876,1.4969,0.5537,0.3244,0.0148,1.1412,0.3828
5,26.7004,277.6875,-2.3103,1.5865,0.5229,0.3546,0.554,0.9833,0.1405
