syllable,centroid x,centroid y,heading,latent_state 0,latent_state 1,latent_state 2,latent_state 3,latent_state 4,latent_state 5
0,35.4338,311.5833,2.3456,-2.2624,2.203,-1.6113,1.1859,1.7181,-2.2333
0,37.0869,311.8993,2.6998,1.817,-0.9248,-0.7552,1.1587,-0.6331,-2.3557
0,36.3131,312.7853,2.698,0.8351,-0.1159,1.0697,0.0753,0.1941,0.3804
0,35.7828,312.6215,2.6763,1.1739,-0.3594,0.4827,0.35,1.1296,-0.2421
0,35.5181,312.8594,2.692,0.9871,-0.4719,0.2778,0.3069,-0.0183,-1.3785
0,35.4924,313.6355,2.7198,1.1495,-0.4745,0.4526,-0.1292,0.3453,0.1061
0,34.7001,313.7559,2.6141,1.1388,-0.3511,0.1946,0.09,0.5685,-0.1867
0,34.4526,313.7048,2.6833,1.1199,-0.3187,0.2788,0.1468,0.2903,-0.6488
0,33.3972,315.1803,2.6362,1.1662,-0.4352,0.5375,-0.2939,0.59,-0.1171
0,33.4334,314.5362,2.6696,1.0796,-0.3095,0.4798,0.0844,0.0253,-0.3086
0,33.2129,315.0101,2.7305,1.0444,-0.4018,0.3156,-0.1245,0.3889,-0.1972
0,32.3525,314.984,2.7349,1.1502,-0.2423,0.5708,-0.1627,0.4425,-0.23
0,32.4211,314.595,2.7234,1.1689,-0.235,0.3106,-0.171,0.1369,-0.3584
0,32.5235,314.6913,2.7344,1.1083,0.0127,0.3652,0.1016,0.3595,-0.4264
0,31.6224,314.0814,2.7177,1.0395,-0.0884,0.4654,0.0308,0.7267,-0.5618
2,31.9449,313.9559,2.7882,0.8904,-0.2176,0.265,0.0038,0.7381,-0.5515
2,32.9303,313.4947,2.7395,0.8202,0.0696,0.4965,-0.0895,0.4831,-0.6646
2,32.8799,314.2443,2.743,1.0177,-0.2579,0.5194,-0.2343,0.0649,-0.5371
2,33.5245,313.1196,2.8503,1.0191,0.4285,0.5339,-0.25,-0.0359,-0.325
2,32.8881,312.6865,2.8295,0.8256,0.3985,0.6422,-0.5407,-0.148,-0.3836
2,33.7672,311.0493,3.0387,0.5817,0.8855,0.3819,-0.3744,-0.3673,-0.5535
2,34.0268,309.0673,-3.1202,0.5372,0.8685,0.0402,-0.1408,-0.5082,-0.1923
2,35.0273,308.3718,-3.1034,0.3348,1.0935,-0.1427,-0.0044,-0.5286,-0.2316
2,36.4,307.989,-3.0371,-0.0929,0.9416,-0.3044,0.0279,-0.5849,-0.1619
2,36.8105,307.3358,-2.9191,0.1076,1.0139,-0.0371,0.067,-0.8576,-0.2864
2,35.684,306.3696,-2.8778,-0.0054,1.1521,-0.3268,0.2455,-0.5753,-0.2224
2,35.7928,304.2718,-2.7567,0.3953,1.2874,0.0334,0.0965,-0.6268,0.1022
2,35.1127,302.5189,-2.7556,0.5681,1.4046,0.0689,0.1643,-0.6677,0.1854
2,34.4162,300.4823,-2.5798,0.4457,1.6731,0.3824,-0.0948,-0.9348,0.1144
2,33.7438,298.4438,-2.5358,0.5815,2.0018,0.4768,0.0031,-1.0472,0.2321
2,33.1383,296.4165,-2.4374,0.6541,1.9292,0.5155,0.1116,-1.048,0.6833
2,32.8669,294.8805,-2.4452,0.419,1.8649,0.3672,0.23,-0.4866,0.6002
2,32.3369,294.0375,-2.4673,0.5417,1.4224,0.118,0.1708,-0.5677,0.8352
2,31.0471,292.8382,-2.3897,0.3972,1.0471,-0.1054,0.4721,-0.0187,0.626
16,29.9352,291.327,-2.3482,0.4209,1.0385,-0.0177,0.5571,0.183,0.8754
16,29.5068,289.1415,-2.3218,0.5606,0.8334,0.3454,0.6007,0.5758,1.0623
16,30.1622,284.8156,-2.1501,0.6832,0.5985,0.14,0.502,0.154,0.9274
16,29.0022,281.2201,-2.1048,0.9233,0.3611,0.4079,0.6907,0.4373,1.1529
16,28.1555,278.4578,-2.0831,0.7762,0.4259,0.3155,0.6515,0.5352,0.9213
16,27.8967,275.1383,-2.0251,0.9364,0.3377,0.4823,0.7165,0.4989,0.8345
16,27.9174,271.9628,-1.9454,0.7454,0.4302,0.3284,0.5421,0.5115,0.9064
16,28.5166,268.945,-1.9117,0.6493,0.4405,0.3223,0.6148,0.4751,0.6861
16,28.2718,264.883,-1.8746,0.6429,0.032,0.1478,0.5133,0.447,0.6776
16,30.4458,261.8297,-1.7891,0.8562,0.1501,0.2609,0.7369,0.7285,0.2887
16,30.4084,259.4747,-1.6955,0.6479,0.0721,0.1535,0.554,0.6938,0.4993
