syllable,centroid x,centroid y,heading,latent_state 0,latent_state 1,latent_state 2,latent_state 3,latent_state 4,latent_state 5
13,39.8859,314.2617,2.9646,-0.7347,4.7498,-2.5152,-1.7737,-0.4358,4.431
13,40.5852,313.8793,-3.07,2.9324,1.0602,0.5298,-5.6517,0.5199,-1.3815
13,40.7021,314.3191,-3.0463,-0.5002,1.9925,-0.5936,0.1256,-0.5202,0.2569
13,39.6849,313.6694,-3.0749,-0.3861,1.6821,-0.4403,0.2082,-0.8502,0.2387
13,38.4786,313.7214,-2.9618,0.0854,1.8678,-0.3845,0.4566,-0.66,0.3481
13,36.9588,313.1416,-2.9207,0.1792,1.9463,-0.289,0.4869,-0.5743,0.2429
13,36.1108,312.3854,-2.937,0.4074,1.9873,-0.369,0.5478,-0.5691,0.3144
0,35.0026,312.1074,-2.808,0.2769,2.098,-0.1941,0.4211,-0.2722,0.4456
0,35.4467,310.729,-2.8447,0.3642,2.2594,-0.0905,0.7749,-0.1146,0.411
0,35.2917,311.1386,-2.8788,0.2246,2.2216,-0.452,0.5522,-0.0593,0.3496
0,35.4753,312.2048,-2.8461,0.2663,2.3556,-0.4058,0.3981,-0.2945,0.7881
0,35.6228,312.2389,-2.7542,0.1934,2.3361,-0.5457,0.2328,-0.0852,0.5493
0,35.508,312.2597,-2.7891,0.1541,2.3533,-0.5421,0.4643,-0.105,0.1018
0,33.7165,311.5612,-2.7068,0.2391,2.3127,-0.306,0.445,-0.5764,0.8362
0,33.4528,310.4782,-2.5789,0.1662,2.2827,-0.618,0.2128,-0.3,0.6632
0,32.5312,309.6035,-2.6493,0.0983,2.2007,-0.3799,0.3479,-0.1357,0.6156
0,30.7238,307.8403,-2.5557,0.2122,2.3217,-0.5033,0.4371,-0.3722,0.7746
0,29.4763,305.6953,-2.4699,0.0887,2.2958,-0.5637,0.3806,-0.5682,0.6117
0,28.758,303.633,-2.3321,0.1774,2.3087,-0.5043,0.204,0.0243,0.6966
0,28.1973,301.745,-2.2823,0.2768,2.3717,-0.4649,0.5693,-0.0176,0.7913
0,27.3574,300.7363,-2.167,0.4656,2.217,-0.285,0.3834,0.1175,1.2897
2,27.8945,298.6533,-2.0583,0.5498,1.9139,-0.2838,0.4902,0.5154,1.0032
2,27.0914,297.2508,-2.0989,0.6263,1.4164,-0.0122,0.3435,0.7094,1.286
2,26.1071,295.4218,-2.0195,0.8082,1.3882,-0.0252,0.4561,0.4099,1.1573
2,26.2269,295.6369,-1.9673,0.7059,1.2396,0.1403,0.3374,0.8617,1.042
2,26.6863,294.5556,-2.0016,0.6536,1.1542,-0.0987,0.2906,0.7042,1.1215
2,26.084,294.7778,-1.8919,0.7396,0.9977,0.1713,0.0188,0.455,0.7608
2,26.5806,294.4409,-1.9228,0.6302,0.8719,-0.082,0.2078,0.7536,0.9901
2,26.5032,296.5527,-1.9407,0.7331,0.4823,-0.1433,0.1188,0.6508,0.8859
8,27.7589,300.9119,1.184,0.6043,-1.7827,-0.325,-0.402,-0.3761,0.3522
18,28.5904,302.7829,1.2378,0.7722,-1.3478,-0.5574,-0.792,0.4807,0.4809
18,28.1496,302.9826,1.2393,0.7473,-1.3517,-0.5968,-0.7477,0.4203,0.7087
18,29.575,303.1971,1.1797,0.7154,-1.3908,-0.6077,-0.6367,-0.1024,0.3252
18,28.5307,303.2541,1.2185,0.7942,-1.2357,-0.5991,-0.7949,0.2334,0.3907
18,28.4413,303.3132,1.2164,0.8152,-1.3039,-0.5735,-0.7325,-0.0166,0.3519
18,29.1011,302.9488,1.1806,0.7701,-1.4094,-0.5702,-0.6281,-0.2953,0.2383
18,29.0123,302.6518,1.2159,0.8407,-1.3741,-0.6005,-0.5609,-0.3678,0.5219
18,28.4955,303.0975,1.1566,0.8546,-1.3731,-0.6162,-0.6428,-0.4414,0.2823
18,28.6405,302.7348,1.1781,0.8334,-1.3645,-0.6491,-0.6691,-0.4937,0.379
18,28.3744,302.7228,1.1757,0.8359,-1.3426,-0.633,-0.6905,-0.522,0.4083
18,28.3311,302.7548,1.2331,0.8091,-1.3615,-0.5541,-0.7324,-0.5386,0.2975
18,28.0427,301.6203,1.2317,0.7883,-1.3618,-0.5246,-0.897,-0.4805,0.0733
18,28.0043,302.5357,1.1838,0.8018,-1.4174,-0.4391,-0.855,-0.5114,-0.1562
18,28.4721,301.295,1.1845,0.9054,-1.2948,-0.4799,-0.8788,0.0655,0.2552
18,28.4092,301.7338,1.2154,0.8564,-1.2519,-0.5824,-0.8356,-0.4951,0.2418
18,28.3712,301.273,1.2244,0.8286,-1.3722,-0.3827,-0.862,-0.7231,-0.3047
18,28.5238,300.0685,1.2587,0.8911,-1.261,-0.4019,-0.9782,-0.0897,0.1128
18,28.4882,300.8329,1.2034,0.8703,-1.2614,-0.3434,-0.9506,-0.4115,-0.017
18,27.778,300.4218,1.3712,0.8887,-1.2638,-0.4201,-0.9511,-0.4232,0.1189
18,27.3979,298.9272,1.3043,0.9354,-1.2529,-0.4558,-1.0675,-0.3635,0.0614
18,27.4845,298.0283,1.2738,0.9254,-1.2768,-0.5209,-1.0082,-0.4741,0.1158
18,27.0297,295.3027,1.3063,0.9726,-1.3315,-0.4233,-1.0766,-0.4034,-0.493
8,25.5841,289.6646,-1.9044,1.1639,0.7179,0.7356,0.2869,1.0951,0.4911
4,25.1947,287.4332,-1.8056,1.1284,0.6622,0.6471,0.2788,0.9487,0.663
2,24.7606,285.831,-1.9454,1.3247,0.7806,0.8327,-0.0661,0.5301,0.562
2,24.8801,285.5477,-1.9557,1.1787,1.0574,0.9639,0.0384,0.7537,0.5497
11,24.6932,286.0509,-1.9266,1.0612,0.8929,0.6966,-0.0545,1.0015,0.9255
11,25.2621,286.5163,-1.9349,1.2421,1.1554,0.7498,0.1212,0.5423,0.8089
11,24.8862,285.871,-1.9091,1.1022,1.2609,0.4457,-0.1317,0.4425,0.4799
11,25.0257,286.6715,-1.9297,0.9959,1.354,0.3353,-0.0305,0.4313,0.8086
11,25.5997,288.3225,-1.9412,0.9275,1.366,0.3,0.1673,0.2132,0.839
11,26.4179,288.8104,-1.8557,0.78,1.31,0.2527,0.1931,0.1786,0.7058
11,26.1174,288.6996,-1.9065,0.9439,1.3651,0.2638,-0.2152,0.2972,0.6752
11,25.4553,288.9757,-1.878,0.5329,1.4608,-0.0075,0.2512,0.5204,0.7008
11,26.2536,288.1351,-1.8916,0.6082,1.416,-0.0366,-0.1116,0.421,0.8955
11,25.7432,287.068,-1.8416,0.3176,1.1983,0.0044,-0.0544,0.3316,0.3099
11,25.9873,287.8148,-1.9436,0.5309,1.1943,0.044,0.0296,0.2419,0.7324
11,25.5952,287.6575,-1.9793,0.496,1.1369,0.0265,0.0064,0.302,0.592
11,25.419,287.4457,-1.7884,0.5479,1.116,-0.173,-0.2644,0.2019,0.5198
11,24.9932,287.3567,-1.7507,0.3395,0.9688,-0.287,0.0228,-0.195,0.6295
11,24.8413,288.3976,-1.7765,0.1733,1.0276,-0.2241,-0.0208,-0.1513,0.7136
11,25.9701,289.0724,-1.6809,-0.063,0.9634,-0.4374,0.0073,0.0473,0.1561
11,26.8821,289.5062,-1.716,0.0286,0.7969,-0.558,0.128,0.0605,0.48
11,27.4521,289.9172,-1.6359,-0.2233,1.0453,-0.5037,-0.0235,0.0867,0.7935
11,28.1525,290.8873,-1.6497,-0.1018,1.0933,-0.2056,0.095,0.6858,0.2124
11,28.1379,290.4584,-1.6889,-0.3216,1.1564,-0.3927,-0.1604,0.3896,0.9358
11,28.4476,289.9246,-1.5035,-0.2827,1.1669,-0.2312,-0.2009,0.5709,0.9625
11,30.2759,289.8261,-1.6124,-0.1706,1.0524,-0.2513,-0.3662,0.5398,0.772
11,31.0486,287.8833,-1.4483,-0.1757,0.9789,-0.1418,-0.3771,0.2746,0.5255
11,31.9307,286.5817,-1.4151,-0.1436,1.1535,-0.106,-0.3088,0.6458,0.7151
11,32.8273,286.2249,-1.3678,-0.0608,1.1961,-0.297,-0.5638,0.5218,0.6015
11,32.9938,284.7482,-1.3283,0.1282,1.356,-0.1353,-0.6975,0.1658,0.1571
11,33.3265,283.8909,-1.2872,0.2469,1.3753,-0.1606,-0.4076,0.3425,0.4501
11,33.7169,282.7628,-1.3716,0.5898,1.1421,-0.1529,-0.5495,0.5748,0.3623
11,34.745,280.7201,-1.3897,0.4023,1.3423,-0.251,-0.5243,0.3579,0.4362
11,35.2036,278.1873,-1.4049,0.73,1.1301,-0.1355,-0.5357,0.3323,0.6475
11,35.8122,276.0358,-1.3223,0.6068,1.2039,-0.0246,-0.5364,-0.0215,0.1289
11,35.7728,274.291,-1.3701,0.662,1.4164,-0.1118,-0.2207,0.3257,0.0983
