group,name,syllable,heading_mean,heading_std,heading_min,heading_max,angular_velocity_mean,angular_velocity_std,angular_velocity_min,angular_velocity_max,velocity_px_s_mean,velocity_px_s_std,velocity_px_s_min,velocity_px_s_max,frequency,duration,abs_number
Control_12-14,2022-09-01_17-49-17_mito_park_12-14_weeks_1035_results_00DLC_resnet50_MoSeqKinectMay13shuffle2_1000001_filtered,0,0.119949211,1.621266786,-3.140976321,3.141193129,-0.02573483,9.742934432,-188.4193474,188.3372588,45.82808108,43.14959352,0.382816601,249.4991543,0.23364486,0.702196078,425
Control_12-14,2022-09-01_17-49-17_mito_park_12-14_weeks_1035_results_00DLC_resnet50_MoSeqKinectMay13shuffle2_1000001_filtered,1,0.042341081,1.642520804,-3.140031586,3.140983924,0.140865548,10.44421979,-187.6783801,187.7359357,61.94643704,44.02220129,0.926117197,237.2783003,0.156679494,0.440233918,285
Control_12-14,2022-09-01_17-49-17_mito_park_12-14_weeks_1035_results_00DLC_resnet50_MoSeqKinectMay13shuffle2_1000001_filtered,2,0.272477391,1.796085153,-3.137573259,3.137856209,-0.427912716,20.01814369,-187.6666061,187.2826889,62.41896612,44.1571954,0.644358632,250.5878843,0.122594832,0.452316891,223
Control_12-14,2022-09-01_17-49-17_mito_park_12-14_weeks_1035_results_00DLC_resnet50_MoSeqKinectMay13shuffle2_1000001_filtered,3,0.149350752,1.849791246,-3.140767202,3.136963695,0.132101532,11.3168417,-187.5532947,188.1732753,45.40792594,37.39377964,0.381475966,226.632492,0.130291369,0.620534459,237
Control_12-14,2022-09-01_17-49-17_mito_park_12-14_weeks_1035_results_00DLC_resnet50_MoSeqKinectMay13shuffle2_1000001_filtered,4,0.554471784,1.716891602,-2.879164392,2.79545585,0.435054258,13.68052553,-172.9897256,175.0290856,27.69949827,20.56400684,1.062890982,119.4423918,0.034084662,0.241397849,62
Control_12-14,2022-09-01_17-49-17_mito_park_12-14_weeks_1035_results_00DLC_resnet50_MoSeqKinectMay13shuffle2_1000001_filtered,5,-0.231317034,1.744451575,-3.127700276,3.140994122,0.04448299,7.261236817,-187.5660782,187.4579889,82.04957979,53.24615377,0,272.9820868,0.066520066,0.932782369,121
Control_12-14,2022-09-01_17-49-17_mito_park_12-14_weeks_1035_results_00DLC_resnet50_MoSeqKinectMay13shuffle2_1000001_filtered,6,0.214879331,1.706968327,-3.139892403,3.125080184,0.237026618,19.5336929,-7.242313514,187.5496604,66.4430503,40.97524348,0.173877079,230.5518923,0.038482683,0.525714286,70
Control_12-14,2022-09-01_17-49-17_mito_park_12-14_weeks_1035_results_00DLC_resnet50_MoSeqKinectMay13shuffle2_1000001_filtered,7,-0.032781793,1.367590739,-3.065987026,2.855059327,-0.881624565,7.573065914,-4.789431997,183.6444732,46.39933236,32.90185969,1.020526246,176.4589704,0.019241341,0.583809524,35
Control_12-14,2022-09-01_17-49-17_mito_park_12-14_weeks_1035_results_00DLC_resnet50_MoSeqKinectMay13shuffle2_1000001_filtered,8,0.272350607,1.157104843,-2.572632065,2.71583294,0.412236594,38.90805731,-98.10689887,142.3695577,67.39160279,45.20962836,4.747662042,228.2039507,0.014293568,0.066666667,26
Control_12-14,2022-09-01_17-49-17_mito_park_12-14_weeks_1035_results_00DLC_resnet50_MoSeqKinectMay13shuffle2_1000001_filtered,9,-0.485973611,1.327043695,-3.115835227,3.095257028,-0.205057894,6.437153992,-187.5662512,3.399655481,23.18117669,19.4420566,0.418345771,151.955808,0.012094557,2.568181818,22
