syllable,label,short_description,movie_path
0,rear,rear/head up,MITOPARK_DLC\2024_05_23-17_43_55_e6-4e4\grid_movies\syllable0.mp4
1,stop,hesitate/mixed,MITOPARK_DLC\2024_05_23-17_43_55_e6-4e4\grid_movies\syllable1.mp4
2,turn_right,head turn,MITOPARK_DLC\2024_05_23-17_43_55_e6-4e4\grid_movies\syllable2.mp4
3,rear,rear/head up/mixed,MITOPARK_DLC\2024_05_23-17_43_55_e6-4e4\grid_movies\syllable3.mp4
4,stop,grooming/stop,MITOPARK_DLC\2024_05_23-17_43_55_e6-4e4\grid_movies\syllable4.mp4
5,walk_start,walk/start walk,MITOPARK_DLC\2024_05_23-17_43_55_e6-4e4\grid_movies\syllable5.mp4
6,turn_left,,MITOPARK_DLC\2024_05_23-17_43_55_e6-4e4\grid_movies\syllable6.mp4
7,turn_left,,MITOPARK_DLC\2024_05_23-17_43_55_e6-4e4\grid_movies\syllable7.mp4
8,hunch,hunch/freeze,MITOPARK_DLC\2024_05_23-17_43_55_e6-4e4\grid_movies\syllable8.mp4
9,freeze,,MITOPARK_DLC\2024_05_23-17_43_55_e6-4e4\grid_movies\syllable9.mp4
10,grooming,grooming/rear mixed,MITOPARK_DLC\2024_05_23-17_43_55_e6-4e4\grid_movies\syllable10.mp4
11,walk,move forward/stop,MITOPARK_DLC\2024_05_23-17_43_55_e6-4e4\grid_movies\syllable11.mp4
12,grooming,,MITOPARK_DLC\2024_05_23-17_43_55_e6-4e4\grid_movies\syllable12.mp4
13,rear,rear/start walk,MITOPARK_DLC\2024_05_23-17_43_55_e6-4e4\grid_movies\syllable13.mp4
14,walk_start,stop/run start,MITOPARK_DLC\2024_05_23-17_43_55_e6-4e4\grid_movies\syllable14.mp4
15,head_up,head_up/rear,MITOPARK_DLC\2024_05_23-17_43_55_e6-4e4\grid_movies\syllable15.mp4
16,run,run start,MITOPARK_DLC\2024_05_23-17_43_55_e6-4e4\grid_movies\syllable16.mp4
17,rear,rear,MITOPARK_DLC\2024_05_23-17_43_55_e6-4e4\grid_movies\syllable17.mp4
18,stop,stop mid action,MITOPARK_DLC\2024_05_23-17_43_55_e6-4e4\grid_movies\syllable18.mp4
19,grooming,,MITOPARK_DLC\2024_05_23-17_43_55_e6-4e4\grid_movies\syllable19.mp4
20,rear,rear to left turn/walk,MITOPARK_DLC\2024_05_23-17_43_55_e6-4e4\grid_movies\syllable20.mp4
21,start walk,,MITOPARK_DLC\2024_05_23-17_43_55_e6-4e4\grid_movies\syllable21.mp4
22,,,
23,,,
24,flip,,
25,,,
26,,,
27,,,
28,,,
29,,,
30,stop,,
31,,,
32,,,
33,,,
34,,,
35,,,
36,,,
37,,,
38,,,
39,,,
40,,,
41,,,
42,,,
43,,,
44,,,
45,,,
46,,,
47,,,
48,,,
49,,,
50,,,
51,,,
52,,,
53,,,
54,,,
55,,,
56,,,
57,,,
58,,,
59,,,
60,,,
61,,,
62,,,
63,,,
64,,,
65,,,
66,,,
67,,,
68,,,
69,,,
70,,,
71,,,
72,,,
73,,,
74,,,
75,,,
76,,,
77,,,
78,,,
79,,,
80,,,
81,,,
82,,,
83,,,
84,,,
85,,,
86,,,
87,,,
88,,,
89,,,
90,,,
91,,,
92,,,
93,,,
94,,,
95,,,
96,,,
97,,,
98,,,
99,,,
